"ABronte_Agnes.txt"	"ABronte_Tenant.txt"	"Austen_Emma.txt"	"Austen_Mansfield.txt"	"CBronte_Professor.txt"	"CBronte_Villette.txt"	"Dickens_Bleak.txt"	"Dickens_David.txt"	"EBronte_Wuthering.txt"	"Eliot_Middlemarch.txt"	"Eliot_Mill.txt"	"Fielding_Joseph.txt"	"Fielding_Tom.txt"	"Richardson_Clarissa.txt"	"Richardson_Pamela.txt"	"Sterne_Sentimental.txt"	"Sterne_Tristram.txt"	"Thackeray_Barry.txt"	"Thackeray_Pendennis.txt"	"Thackeray_Vanity.txt"	"Trollope_Barchester.txt"	"Trollope_Phineas.txt"	"Trollope_Prime.txt"
"the"	3.67470584791898	3.54285304539561	3.24343864329031	3.88145554582969	4.3136548400536	4.30821836683197	4.20883041807134	3.83031428148057	3.91763535987381	3.95332401488857	4.19288320203035	5.12884206527219	4.79179107905737	3.27370013325064	2.81694628275969	5.77667421310159	5.50868963601297	5.7061575717678	5.33556538005651	5.74449720881234	5.11503780680118	3.92605059855498	4.39634049604259
"and"	3.99959023590704	4.00654910935698	3.04025628400656	3.39252219582343	3.30026685883505	3.26849892114302	3.57704192522571	3.43414235908218	4.06679696876179	2.68434030122658	2.97486577294117	2.81574890592009	2.48403693325371	2.82538989013811	3.92706617024569	3.14029065946104	3.12431548747977	3.84720883392503	4.41653137692191	4.23748560101605	2.87442885447414	2.66411930159741	2.460822507007
"to"	3.46250658549435	3.3426749765463	3.23221998541574	3.39877454045267	2.61791895148124	2.44403590353628	2.83419136977481	2.92334059322342	2.98666118026266	3.17779906710851	2.92727945665079	3.07511342631491	3.2801805319491	3.99979706972829	3.50491110848133	2.77757491662407	2.37048355300064	2.84406617606721	2.55739749344149	2.63694213167317	3.30051352553475	3.34758644741132	3.57876923619313
"of"	2.34443598899491	2.23123853457703	2.67502664431245	2.98674502938602	2.99625046446949	2.49347278654081	2.39444183581372	2.42903434142359	1.90481089051195	2.79113596029714	2.42834414039405	2.84058945153536	3.00513344664431	2.43485265295093	2.03112341037568	3.07212931181382	3.39999038343386	3.34720491539902	2.76833714391646	2.80759675624941	2.72279729893656	2.49239960273235	2.40088843448677
"i"	3.22542878885442	3.63009483062545	1.98881873765169	1.48868325622108	3.30026685883505	3.03521862946541	2.60250747208687	3.69191971437598	3.07667249597092	1.42760667786974	1.32712948765399	1.57299102087336	1.83230740961918	3.06155517063226	3.94094835826058	3.17924000097373	1.46011529194292	2.68027178896386	1.07716852140012	0.749567620254079	0.959322308034451	1.92947741108862	1.84702709372631
"a"	1.89662237311948	1.66834975590227	1.9483069175491	1.93572589721145	2.51770614000518	2.41107798153326	2.14082669538347	2.2073234490722	1.98796420121387	2.29987592857255	2.31538672293709	2.27875475806039	1.94801093297809	1.80204151994774	1.71388127770748	2.40755617225346	2.21448148009638	2.42948612449941	2.31921264177335	2.22212012116478	1.71899640127775	1.85821184069871	1.85725114139153
"in"	1.33319674530235	1.20764142431178	1.35496456773888	1.56433662623484	1.71262568825934	1.59485444442728	1.76237217318934	1.73901860078899	1.25587216678668	1.65376219119564	1.49296058987805	1.67673682903129	1.63075933667141	1.48791374221022	1.39413579965954	1.88904306336571	2.03016396245265	1.93340073198066	1.69790970322392	1.77415173165217	1.52238081759735	1.52121667007832	1.39188069594035
"that"	1.13563191476907	1.14071621920395	1.12186578745629	1.05289483556334	0.899663329992906	0.999037010716474	1.36479810604037	1.46306822153196	1.03212975345472	1.61010161292856	1.41701475175805	1.11417153127352	1.15904497220819	1.61878306029203	1.2610033408282	0.842279510212031	1.13422055060184	1.08856652481603	1.19401392033166	1.08693868576248	1.81300796571105	2.23121886869698	2.17031853196778
"he"	0.964409061640227	1.34985748516591	1.12872163393519	0.97349005877204	0.689103827228609	1.14116804935449	1.28972577511479	0.98581665375916	1.67421047217364	1.55136400043975	1.10025331301702	1.75929511298795	1.44528917267674	0.831392898889992	1.08053489663459	0.966430536283746	1.04179466494281	0.865994247603821	1.59117592535377	1.25299876275397	1.95301443532409	2.25055155002616	2.1773695993231
"was"	1.4634431891354	1.09649778011485	1.49582104994173	1.66249843691384	1.22845143056603	1.48516636026099	0.932640156105461	1.48571460523998	0.966121455268662	1.45681843167434	1.46363972832539	1.16969745676649	1.1475607515274	0.638194997354659	0.694792131302741	1.15387424231359	0.969670418908306	1.71082845476845	1.34147506081017	1.45942522209715	1.56231046055558	1.55684945527327	1.47931393114633
"it"	1.16343733536264	1.36240596112363	1.57622143137609	1.42053269976241	1.07081330015426	1.14837759479265	1.43312236227601	1.32802867423596	1.12385557041457	1.06136038823363	1.15408833750715	0.924214417744917	0.959793743396573	1.18289711952904	1.13947730148471	1.92312373718932	1.68717310353302	0.746871056983205	0.838421913006353	0.750880348135434	1.16857385467632	1.26913366843314	1.52373565548485
