"Austen_Northanger.txt"	"Austen_Persuasion.txt"	"Austen_Pride.txt"	"Austen_Sense.txt"	"CBronte_Jane.txt"	"Dickens_Hard.txt"	"EEE_Adam.txt"
"the"	4.09567793430874	3.9943349576322	3.55699405250879	3.43236034348688	4.18710787614498	4.12987588225665	4.65161532438531
"and"	2.97538194848708	3.34261504116758	2.93842210758059	2.91729725662015	3.53673004777632	3.21801007192859	3.13242741117222
"to"	2.89388235598505	3.33901437864567	3.39762757532941	3.43068806073731	2.75328395378416	2.81070359065217	2.97258604793388
"of"	3.04653238638569	3.08216711874985	2.96470936154832	2.98586084935241	2.32949626446917	2.48042906800959	2.07701110549993
"i"	1.66233295817648	1.34784800403274	1.69552788091874	1.67061046681773	3.82905270358376	2.05579039604056	1.30791932875894
"a"	1.98445039520834	1.91315201997167	1.60023658528571	1.7283042216778	2.38721262064322	2.17422703244008	2.238242393636
"in"	1.62740456138989	1.65990542259776	1.5328754969934	1.62880339807855	1.47604236808072	1.70914658218829	1.44830174342913
"that"	1.03232817169247	1.05139345639598	1.29546873459731	1.15638352132579	0.884449717296737	1.26621282004372	1.18560593775916
"he"	0.702448868708037	1.15341222784992	1.09913580652581	0.929789208759417	1.0164491615096	1.31435779418986	1.24722594155829
"was"	1.43206426825009	1.60469526392856	1.51726743995005	1.55605909847237	1.349387030921	1.14199878674665	1.40614068819815
"it"	1.42171511364665	1.24582923257879	1.25850228370519	1.4674281127453	1.28418892487254	1.29702560349725	1.11008668498279
"you"	1.18756549074397	0.753738687918577	1.11392238688266	0.995844377367325	1.5877342054916	1.44627502335031	0.953488479839139
"her"	2.02067243632036	1.44386567128352	1.8269641507574	2.12630751607482	0.915979948910337	1.16992287175142	1.41170038778905
"his"	0.679163270850312	0.790945533978252	1.04327539184438	0.853700343654105	0.649843417663343	1.13429559088327	0.89140516774077
"as"	0.882265429942692	0.970978660073454	0.970163966746624	1.02092861861083	0.850781842861876	0.837722550142991	1.23749646727422
"my"	0.447600936598492	0.267649247461533	0.585712877468537	0.525096783364131	1.19387351567427	0.524780218193023	0.313196410287297
"not"	1.25742228431715	1.12100626515279	1.17142575493707	1.04350443572999	0.834749521702419	0.646105553041318	0.580988607248922
"for"	0.935304847285287	0.848556134328716	0.869122334308152	1.0535381322274	0.697940381141715	0.739506802884847	1.10869676008506
"with"	0.856392543434108	0.784944429775079	0.864193474189203	0.829452243785379	0.749778219557294	0.927272202054828	0.841367871422681
"had"	0.909431960776704	1.42346191699273	0.966878060000657	0.834469092034081	0.796806361625036	0.743358400816539	0.905767725017258
"she"	1.4191278249958	1.37545308336734	1.4047251339007	1.34869603752602	0.779170808349633	0.798243671343148	0.972020811808802
"be"	1.02844723871619	1.14020979860294	1.01780961456314	1.08698378721874	0.549374205064076	0.687510230807006	0.728320646407739
"but"	0.76066286335235	0.796946638181425	0.823119639864621	0.740821258058312	0.664272506706854	0.502633530085794	0.795037041498524
"have"	0.631298430809433	0.706930075133825	0.691683370025959	0.684799785947808	0.579835615267045	0.739506802884847	0.441996117476452
